Codeword,Es,SER,noise_power,Tx_SNR,Rx_SNR,PL,Avg_BER,BLER,Tx_EbN0,Rx_EbN0,Bit_Rate,N_subcarriers
7,0.6352150032982081,0.92578125,66.95291642046968,0,[0.10675248 0.058131  ],-3.6194758823131536,0.7734375,0.5,-5.789361924808246,-9.901018907193146,512000.0,9
8,0.6352150032982081,0.962890625,66.77982010639253,0,[0.05896408 0.01015656],-7.133427999536963,0.7958984375,0.5,-5.789361924808246,-13.090429094293043,512000.0,9
9,0.6352150032982081,0.900390625,66.77982010639253,0,[0.03311681 0.47631049],-7.5937422268621475,0.7021484375,0.5,-5.789361924808246,-10.32478010482916,512000.0,9
10,0.6352150032982081,0.7421875,66.77982010639253,0,[5.48209136 8.15246367],-9.559317676161527,0.498046875,0.5,-5.789361924808246,-0.20109110952695575,512000.0,9
11,0.6352150032982081,0.970703125,66.77982010639253,0,[0.0206755  0.00227003],-4.810793612138383,0.8466796875,0.5,-5.789361924808246,-16.225117512609884,512000.0,9
0,0.6352150032982081,0.97265625,69.77982010639253,-3,[0.01012672 0.00114723],-6.448834442359512,0.8740234375,0.3333333333333333,-8.789361924808247,-19.21384215876857,512000.0,9
1,0.6352150032982081,0.876953125,69.77982010639253,-3,[1.02450221 1.37789098],-7.084252596729499,0.634765625,0.3333333333333333,-8.789361924808247,-5.433643625145777,512000.0,9
2,0.6352150032982081,0.93359375,69.77982010639253,-3,[0.16168648 0.51608694],-8.588385096695418,0.7275390625,0.3333333333333333,-8.789361924808247,-8.827501711561084,512000.0,9
3,0.6352150032982081,0.958984375,71.70843874746456,-3,[0.07145054 0.09978045],-7.590010942525353,0.822265625,0.3333333333333333,-8.789361924808247,-11.181718898760977,512000.0,9
4,0.6352150032982081,0.947265625,72.39418031272633,-3,[0.06130245 0.12801322],-3.574800345516877,0.787109375,0.3333333333333333,-8.789361924808247,-11.191331411545008,512000.0,9
5,0.6352150032982081,0.9453125,71.92585265200074,-3,[3.290671   1.40661595],-10.263250525226894,0.751953125,0.3333333333333333,-8.789361924808247,-4.310997421506811,512000.0,9
6,0.6352150032982081,0.931640625,71.87945765634066,-3,[0.35875676 2.7029775 ],-9.087277190373854,0.744140625,0.3333333333333333,-8.789361924808247,-6.77568680665125,512000.0,9
7,0.6352150032982081,0.974609375,69.95291642046968,-3,[0.04942255 0.07929149],-9.96351536632001,0.8154296875,0.3333333333333333,-8.789361924808247,-11.861432870871141,512000.0,9
8,0.6352150032982081,0.873046875,69.77982010639253,-3,[3.82908397 1.11856458],-10.42776425876373,0.6396484375,0.3333333333333333,-8.789361924808247,-4.592276419432478,512000.0,9
9,0.6352150032982081,0.912109375,69.77982010639253,-3,[0.47180878 1.00888216],-5.816609667679614,0.6875,0.3333333333333333,-8.789361924808247,-6.7433517591267105,512000.0,9
10,0.6352150032982081,0.984375,69.77982010639253,-3,[0.01182127 0.0345225 ],-5.571208361752909,0.8564453125,0.3333333333333333,-8.789361924808247,-14.555187125360433,512000.0,9
11,0.6352150032982081,0.94921875,69.77982010639253,-3,[0.03025149 0.11524522],-6.750531395243215,0.79296875,0.3333333333333333,-8.789361924808247,-12.381479147244347,512000.0,9
